Name;Step;Drag;Lift;RecircArea;Jet0;Jet1
Simu_lift;126;-0.15898022;0.039638087;0.011580679;0.000956146477181;-0.000956146477181
Simu_lift;127;-0.15900202;0.039971106;0.011562767;0.000959122056307;-0.000959122056307
Simu_lift;128;-0.15902421;0.0403091;0.011562767;0.00096180007752;-0.00096180007752
Simu_lift;129;-0.15904677;0.04065122;0.011629761;0.000964210296612;-0.000964210296612
Simu_lift;130;-0.1590697;0.040996842;0.011668097;0.000966379493795;-0.000966379493795
Simu_lift;131;-0.15909299;0.04134527;0.011747013;0.000968331771259;-0.000968331771259
Simu_lift;132;-0.15911661;0.041695975;0.011747013;0.000970088820977;-0.000970088820977
Simu_lift;133;-0.15914056;0.042048406;0.011799944;0.000971670165724;-0.000971670165724
Simu_lift;134;-0.15916482;0.042402115;0.011750644;0.000973093375995;-0.000973093375995
Simu_lift;135;-0.15918936;0.042756643;0.011786059;0.00097437426524;-0.00097437426524
Simu_lift;136;-0.15921418;0.04311162;0.011883944;0.00097552706556;-0.00097552706556
Simu_lift;137;-0.15923929;0.04346667;0.011906638;0.000976564585848;-0.000976564585848
Simu_lift;138;-0.15926465;0.04382148;0.011906638;0.000977498354107;-0.000977498354107
Simu_lift;139;-0.15929025;0.04417574;0.011860464;0.00097833874554;-0.00097833874554
Simu_lift;140;-0.1593161;0.04452919;0.011745457;0.00097909509783;-0.00097909509783
Simu_lift;141;-0.15934214;0.04488157;0.011745457;0.000979775814891;-0.000979775814891
Simu_lift;142;-0.15936841;0.04523266;0.011745457;0.000980388460246;-0.000980388460246
Simu_lift;143;-0.15939488;0.04558225;0.011745457;0.000980939841065;-0.000980939841065
Simu_lift;144;-0.15942152;0.045930147;0.011807628;0.000981436083803;-0.000981436083803
Simu_lift;145;-0.15944834;0.04627618;0.011739562;0.000981882702266;-0.000981882702266
Simu_lift;146;-0.15947533;0.04662018;0.011500407;0.000982284658884;-0.000982284658884
Simu_lift;147;-0.15950246;0.046962004;0.011500407;0.000982646419839;-0.000982646419839
Simu_lift;148;-0.15952973;0.047301516;0.011500407;0.000982972004699;-0.000982972004699
Simu_lift;149;-0.15955712;0.047638588;0.011498498;0.000983265031073;-0.000983265031073
Simu_lift;150;-0.15958464;0.0479731;0.011289277;0.00102086161184;-0.00102086161184
Simu_lift;151;-0.15959142;0.056376677;0.011234735;0.00105469853453;-0.00105469853453
Simu_lift;152;-0.15962249;0.056352526;0.011290992;0.00108515176494;-0.00108515176494
Simu_lift;153;-0.15963593;0.055983078;0.011290992;0.00111255967232;-0.00111255967232
Simu_lift;154;-0.15965842;0.055757277;0.011300356;0.00113722678896;-0.00113722678896
Simu_lift;155;-0.15967895;0.055561285;0.011300356;0.00115942719394;-0.00115942719394
Simu_lift;156;-0.15970246;0.055420913;0.011281369;0.00117940755841;-0.00117940755841
Simu_lift;157;-0.15972543;0.05530963;0.011281369;0.00119738988644;-0.00119738988644
Simu_lift;158;-0.15975;0.055241343;0.011281369;0.00121357398167;-0.00121357398167
Simu_lift;159;-0.15977456;0.05520058;0.011281369;0.00122813966738;-0.00122813966738
Simu_lift;160;-0.15980004;0.055193238;0.011167182;0.00124124878451;-0.00124124878451
Simu_lift;161;-0.15982565;0.05520975;0.011298715;0.00125304698993;-0.00125304698993
Simu_lift;162;-0.15985185;0.055252302;0.011295703;0.00126366537481;-0.00126366537481
Simu_lift;163;-0.15987818;0.055314668;0.0112848785;0.0012732219212;-0.0012732219212
Simu_lift;164;-0.15990485;0.055397294;0.011257378;0.00128182281295;-0.00128182281295
Simu_lift;165;-0.15993163;0.05549592;0.011257378;0.00128956361553;-0.00128956361553
Simu_lift;166;-0.15995862;0.05561021;0.011257378;0.00129653033785;-0.00129653033785
Simu_lift;167;-0.15998565;0.05573713;0.011386418;0.00130280038793;-0.00130280038793
Simu_lift;168;-0.16001278;0.055876017;0.011386418;0.00130844343301;-0.00130844343301
Simu_lift;169;-0.16003992;0.056024652;0.011425168;0.00131352217358;-0.00131352217358
Simu_lift;170;-0.16006707;0.056182265;0.011425168;0.0013180930401;-0.0013180930401
Simu_lift;171;-0.16009414;0.056347195;0.011443162;0.00132220681996;-0.00132220681996
Simu_lift;172;-0.16012119;0.056518685;0.011375668;0.00132590922183;-0.00132590922183
Simu_lift;173;-0.16014811;0.05669545;0.0113886595;0.00132924138352;-0.00132924138352
Simu_lift;174;-0.16017494;0.05687681;0.011342263;0.00133224032904;-0.00133224032904
Simu_lift;175;-0.16020162;0.057061758;0.011342263;0.00133493938001;-0.00133493938001
Simu_lift;176;-0.16022813;0.057249688;0.011342263;0.00133736852588;-0.00133736852588
Simu_lift;177;-0.16025446;0.057439815;0.0113200005;0.00133955475716;-0.00133955475716
Simu_lift;178;-0.1602806;0.05763161;0.0113200005;0.00134152236532;-0.00134152236532
Simu_lift;179;-0.16030651;0.05782445;0.011288684;0.00134329321266;-0.00134329321266
Simu_lift;180;-0.1603322;0.058017887;0.011283257;0.00134488697526;-0.00134488697526
Simu_lift;181;-0.16035762;0.058211412;0.011275872;0.00134632136161;-0.00134632136161
Simu_lift;182;-0.16038278;0.058404654;0.011169247;0.00134761230932;-0.00134761230932
Simu_lift;183;-0.16040763;0.058597207;0.011085916;0.00134877416226;-0.00134877416226
Simu_lift;184;-0.1604322;0.058788754;0.01109636;0.00134981982991;-0.00134981982991
Simu_lift;185;-0.16045646;0.058978964;0.011338182;0.00135076093079;-0.00135076093079
Simu_lift;186;-0.16048038;0.05916757;0.011191796;0.00135160792158;-0.00135160792158
Simu_lift;187;-0.16050397;0.059354313;0.011191796;0.00135237021329;-0.00135237021329
Simu_lift;188;-0.1605272;0.05953896;0.011065113;0.00135305627584;-0.00135305627584
Simu_lift;189;-0.16055007;0.059721306;0.011103329;0.00135367373212;-0.00135367373212
Simu_lift;190;-0.16057256;0.059901156;0.011335142;0.00135422944278;-0.00135422944278
